iter	Passed	Remaining
400	17598	26287
401	17636	26234
402	17673	26180
403	17728	26153
404	17765	26099
405	17806	26051
406	17846	26002
407	17887	25954
408	17924	25900
409	17959	25843
410	18086	25919
411	18166	25927
412	18213	25886
413	18247	25828
414	18284	25774
415	18318	25716
416	18355	25662
417	18390	25605
418	18425	25549
419	18462	25495
420	18498	25441
421	18535	25387
422	18572	25334
423	18610	25281
424	18645	25226
425	18685	25177
426	18720	25120
427	18755	25066
428	18812	25039
429	18853	24991
430	18896	24946
431	18932	24892
432	18979	24853
433	19016	24799
434	19053	24747
435	19093	24699
436	19129	24644
437	19166	24592
438	19201	24537
439	19242	24490
440	19282	24442
441	19324	24396
442	19358	24340
443	19392	24284
444	19428	24230
445	19461	24173
446	19496	24119
447	19533	24068
448	19568	24013
449	19602	23958
450	19634	23900
451	19668	23845
452	19716	23808
453	19760	23765
454	19800	23716
455	19848	23678
456	19881	23622
457	19917	23570
458	19956	23521
459	20000	23478
460	20035	23425
461	20070	23371
462	20100	23312
463	20130	23254
464	20164	23200
465	20198	23146
466	20231	23091
467	20269	23040
468	20301	22985
469	20331	22927
470	20365	22872
471	20397	22817
472	20428	22760
473	20463	22708
474	20500	22658
475	20529	22600
476	20559	22542
477	20588	22484
478	20619	22427
479	20651	22372
480	20682	22316
481	20720	22268
482	20752	22213
483	20784	22158
484	20815	22102
485	20848	22049
486	20895	22011
487	20925	21955
488	20959	21901
489	20991	21848
490	21021	21792
491	21056	21741
492	21092	21691
493	21123	21637
494	21153	21580
495	21185	21526
496	21222	21478
497	21252	21422
498	21287	21372
499	21325	21325
500	21358	21273
501	21388	21217
502	21417	21161
503	21448	21108
504	21480	21055
505	21518	21008
506	21557	20962
507	21595	20915
508	21638	20873
509	21676	20826
510	21716	20781
511	21749	20729
512	21797	20692
513	21827	20638
514	21861	20587
515	21897	20539
516	21953	20510
517	21987	20459
518	22018	20406
519	22046	20350
520	22076	20296
521	22106	20243
522	22136	20189
523	22167	20136
524	22200	20086
525	22257	20056
526	22289	20005
527	22326	19958
528	22357	19905
529	22390	19856
530	22421	19803
531	22455	19753
532	22484	19700
533	22515	19648
534	22550	19600
535	22581	19548
536	22616	19499
537	22646	19447
538	22678	19396
539	22709	19344
540	22747	19299
541	22790	19258
542	22823	19208
543	22861	19162
544	22898	19116
545	22945	19079
546	23005	19052
547	23044	19007
548	23081	18960
549	23119	18916
550	23156	18869
551	23189	18820
552	23229	18776
553	23349	18797
554	23440	18794
555	23488	18757
556	23526	18711
557	23563	18664
558	23612	18627
559	23648	18581
560	23684	18534
561	23723	18489
562	23757	18440
563	23792	18392
564	23828	18346
565	23867	18301
566	23902	18253
567	23936	18205
568	23967	18154
569	24003	18108
570	24054	18072
571	24094	18028
572	24130	17982
573	24165	17934
574	24198	17885
575	24233	17838
576	24273	17794
577	24307	17746
578	24342	17699
579	24372	17649
580	24401	17597
581	24432	17547
582	24465	17499
583	24498	17451
584	24535	17405
585	24575	17362
586	24605	17311
587	24640	17264
588	24679	17220
589	24708	17169
590	24738	17120
591	24771	17072
592	24808	17026
593	24840	16978
594	24869	16928
595	24912	16886
596	24944	16838
597	24998	16805
598	25049	16769
599	25144	16762
600	25193	16726
601	25234	16683
602	25271	16637
603	25308	16593
604	25345	16547
605	25380	16501
606	25435	16468
607	25469	16421
608	25511	16379
609	25595	16364
610	25633	16319
611	25666	16272
612	25703	16227
613	25737	16179
614	25771	16133
615	25802	16084
616	25835	16037
617	25880	15997
618	25945	15969
619	26024	15950
620	26071	15911
621	26106	15865
622	26154	15827
623	26184	15778
624	26214	15728
625	26253	15685
626	26290	15639
627	26325	15593
628	26360	15548
629	26394	15501
630	26426	15453
631	26464	15409
632	26499	15364
633	26541	15322
634	26580	15278
635	26618	15234
636	26649	15186
637	26696	15147
638	26733	15103
639	26789	15069
640	26837	15030
641	26886	14992
642	26921	14946
643	26972	14910
644	27018	14870
645	27059	14828
646	27096	14783
647	27133	14739
648	27190	14705
649	27227	14661
650	27258	14613
651	27290	14565
652	27326	14520
653	27359	14474
654	27395	14429
655	27436	14387
656	27471	14342
657	27506	14296
658	27543	14252
659	27583	14209
660	27624	14167
661	27661	14123
662	27694	14076
663	27730	14032
664	27765	13987
665	27801	13942
666	27838	13898
667	27872	13852
668	27907	13807
669	27946	13764
670	27986	13721
671	28019	13676
672	28050	13629
673	28088	13585
674	28121	13540
675	28227	13529
676	28341	13521
677	28394	13485
678	28438	13444
679	28487	13405
680	28536	13367
681	28573	13323
682	28603	13275
683	28635	13229
684	28668	13183
685	28701	13137
686	28737	13093
687	28767	13045
688	28796	12998
689	28827	12951
690	28861	12906
691	28894	12860
692	28929	12816
693	28974	12775
694	29010	12731
695	29048	12687
696	29084	12643
697	29119	12599
698	29151	12552
699	29184	12507
700	29217	12462
701	29246	12415
702	29288	12373
703	29341	12336
704	29376	12292
705	29415	12249
706	29457	12207
707	29496	12165
708	29535	12122
709	29570	12077
710	29611	12035
711	29659	11997
712	29704	11956
713	29751	11917
714	29799	11877
715	29855	11842
716	29901	11802
717	29934	11757
718	29972	11713
719	30008	11670
720	30045	11626
721	30081	11582
722	30116	11538
723	30151	11494
724	30195	11453
725	30237	11412
726	30283	11371
727	30332	11333
728	30403	11302
729	30450	11262
730	30511	11227
731	30553	11186
732	30601	11146
733	30804	11163
734	30872	11131
735	30948	11101
736	31012	11066
737	31105	11042
738	31175	11010
739	31236	10974
740	31299	10940
741	31343	10898
742	31405	10863
743	31548	10855
744	31653	10834
745	31716	10798
746	31773	10761
747	31827	10722
748	31872	10680
749	31920	10640
750	31989	10606
751	32044	10567
752	32088	10525
753	32130	10482
754	32178	10442
755	32236	10404
756	32295	10366
757	32347	10327
758	32408	10290
759	32470	10253
760	32576	10230
761	32637	10193
762	32695	10155
763	32758	10119
764	32812	10079
765	32877	10043
766	32951	10010
767	33015	9973
768	33087	9939
769	33142	9899
770	33221	9867
771	33298	9834
772	33354	9794
773	33416	9757
774	33474	9718
775	33540	9681
776	33634	9653
777	33783	9640
778	33840	9600
779	33898	9560
780	33956	9521
781	34018	9483
782	34087	9446
783	34148	9408
784	34212	9370
785	34290	9335
786	34358	9298
787	34485	9277
788	34543	9237
789	34610	9200
790	34667	9160
791	34784	9135
792	34849	9096
793	34905	9056
794	34974	9018
795	35029	8977
796	35094	8938
797	35158	8899
798	35215	8858
799	35270	8817
800	35316	8774
801	35376	8733
802	35439	8694
803	35488	8651
804	35550	8611
805	35613	8571
806	35672	8531
807	35730	8490
808	35811	8454
809	35875	8415
810	35940	8375
811	35989	8332
812	36050	8292
813	36115	8252
814	36177	8211
815	36237	8171
816	36293	8129
817	36343	8086
818	36394	8043
819	36449	8001
820	36502	7958
821	36562	7917
822	36629	7877
823	36694	7837
824	36753	7796
825	36809	7754
826	36907	7720
827	36980	7681
828	37033	7638
829	37082	7595
830	37138	7552
831	37204	7512
832	37266	7471
833	37323	7428
834	37512	7412
835	37593	7374
836	37653	7332
837	37706	7289
838	37770	7247
839	37830	7205
840	37892	7163
841	37980	7126
842	38038	7084
843	38103	7042
844	38154	6998
845	38209	6955
846	38262	6911
847	38327	6870
848	38383	6826
849	38439	6783
850	38485	6738
851	38544	6695
852	38606	6653
853	38664	6610
854	38723	6567
855	38789	6525
856	38843	6481
857	38896	6437
858	38949	6393
859	39006	6349
860	39097	6311
861	39156	6268
862	39215	6225
863	39267	6181
864	39322	6137
865	39384	6094
866	39447	6051
867	39496	6006
868	39547	5961
869	39615	5919
870	39670	5875
871	39720	5830
872	39783	5787
873	39849	5744
874	39917	5702
875	39971	5658
876	40023	5613
877	40086	5570
878	40183	5531
879	40231	5486
880	40291	5442
881	40344	5397
882	40394	5352
883	40444	5307
884	40494	5261
885	40545	5216
886	40604	5172
887	40666	5129
888	40729	5085
889	40793	5041
890	40852	4997
891	40906	4952
892	40955	4907
893	41009	4862
894	41066	4817
895	41121	4772
896	41176	4728
897	41273	4688
898	41325	4642
899	41375	4597
900	41435	4552
901	41510	4510
902	41558	4464
903	41610	4418
904	41653	4372
905	41701	4326
906	41781	4284
907	41822	4237
908	41855	4190
909	41889	4142
910	41921	4095
911	41960	4048
912	41997	4001
913	42032	3954
914	42077	3908
915	42126	3863
916	42180	3817
917	42231	3772
918	42325	3730
919	42387	3685
920	42436	3640
921	42470	3592
922	42504	3545
923	42540	3499
924	42596	3453
925	42655	3408
926	42724	3364
927	42793	3320
928	42850	3274
929	42904	3229
930	42969	3184
931	43022	3138
932	43077	3093
933	43131	3047
934	43189	3002
935	43250	2957
936	43305	2911
937	43401	2868
938	43457	2823
939	43513	2777
940	43564	2731
941	43616	2685
942	43667	2639
943	43718	2593
944	43782	2548
945	43852	2503
946	43902	2457
947	43964	2411
948	44024	2365
949	44074	2319
950	44128	2273
951	44192	2228
952	44246	2182
953	44305	2136
954	44354	2089
955	44434	2045
956	44553	2001
957	44610	1955
958	44660	1909
959	44713	1863
960	44768	1816
961	44829	1770
962	44883	1724
963	44950	1678
964	45009	1632
965	45061	1586
966	45111	1539
967	45161	1492
968	45216	1446
969	45266	1399
970	45324	1353
971	45410	1308
972	45505	1262
973	45649	1218
974	45744	1172
975	45823	1126
976	45915	1080
977	46012	1035
978	46118	989
979	46181	942
980	46246	895
981	46306	848
982	46370	801
983	46428	754
984	46479	707
985	46541	660
986	46602	613
987	46687	567
988	46750	519
989	47002	474
990	47066	427
991	47119	379
992	47180	332
993	47231	285
994	47294	237
995	47345	190
996	47393	142
997	47453	95
998	47511	47
999	47567	0
