iter	R2	RMSE
0	0.06032557965	0.005727447315
1	0.1097629415	0.005574747932
2	0.1504431375	0.005445887014
3	0.1832369971	0.005339743911
4	0.2097151449	0.005252477857
5	0.2318292191	0.005178467948
6	0.2499958487	0.005116868243
7	0.2650567056	0.005065231704
8	0.2769587107	0.005024049964
9	0.286914468	0.004989341299
10	0.2953147317	0.004959866611
11	0.3020585501	0.004936076664
12	0.3074368539	0.004917021296
13	0.3119436005	0.00490099681
14	0.3154546286	0.004888476365
15	0.3187342037	0.004876752253
16	0.3214103634	0.004867164358
17	0.3234573299	0.00485981791
18	0.3254848509	0.004852530286
19	0.3270036438	0.004847064032
20	0.328349223	0.004842216033
21	0.3294404564	0.004838280851
22	0.3306295162	0.004833989243
23	0.331466506	0.004830966055
24	0.3322998286	0.004827954232
25	0.3331040197	0.004825045916
26	0.3338869536	0.004822212789
27	0.334479488	0.004820067535
28	0.3351200956	0.00481774716
29	0.3357224847	0.004815564197
30	0.336127485	0.004814095984
31	0.337081048	0.004810637343
32	0.3375927142	0.004808780467
33	0.3380135881	0.004807252547
34	0.3384789657	0.004805562496
35	0.3389098066	0.004803997338
36	0.3394444343	0.004802054434
37	0.3397363749	0.004800993153
38	0.3400753831	0.004799760475
39	0.3403725905	0.00479867953
40	0.3407416105	0.004797337063
41	0.3410175459	0.004796332984
42	0.3412627729	0.004795440472
43	0.3416617987	0.004793987849
44	0.3420146347	0.004792703009
45	0.3423508109	0.004791478515
46	0.3429759197	0.004789200775
47	0.3436400787	0.004786779558
48	0.3440637678	0.004785234344
49	0.3447656932	0.00478267329
50	0.345020449	0.004781743445
51	0.3452204882	0.004781013186
52	0.3454553762	0.004780155567
53	0.3456557969	0.004779423672
54	0.345785427	0.00477895023
55	0.3459540587	0.004778334274
56	0.3462247019	0.004777345539
57	0.3464781483	0.004776419442
58	0.3466554586	0.004775771441
59	0.3468303061	0.004775132354
60	0.3469944447	0.004774532331
61	0.3474096812	0.004773014063
62	0.3477045982	0.004771935437
63	0.3478507608	0.004771400773
64	0.3480718193	0.004770592026
65	0.3481953198	0.004770140137
66	0.3484350173	0.00476926296
67	0.3486611027	0.004768435449
68	0.3489428248	0.004767404097
69	0.3493394398	0.004765951758
70	0.3495129971	0.00476531608
71	0.3496558641	0.004764792746
72	0.3497951005	0.004764282656
73	0.3502843812	0.004762489752
74	0.3505349644	0.004761571262
75	0.3506625063	0.0047611037
76	0.3508303436	0.004760488348
77	0.3509442021	0.004760070856
78	0.3511359399	0.004759367717
79	0.3513772015	0.004758482817
80	0.3515069534	0.004758006845
81	0.3515839814	0.004757724259
82	0.3517230925	0.004757213871
83	0.3518579931	0.004756718878
84	0.3520617819	0.004755971015
85	0.3522580246	0.004755250734
86	0.3523920149	0.004754758879
87	0.352486171	0.004754413218
88	0.3528703709	0.004753002502
89	0.3530840894	0.004752217583
90	0.3532960417	0.004751439023
91	0.3533726356	0.004751157641
92	0.3534708909	0.004750796657
93	0.3535540171	0.004750491235
94	0.3537070403	0.004749928946
95	0.353904487	0.004749203324
96	0.3540883272	0.004748527606
97	0.3543269709	0.00474765031
98	0.3545727672	0.004746746551
99	0.3547405781	0.004746129435
100	0.3548705385	0.004745651457
101	0.3551643988	0.004744570497
102	0.3553949921	0.004743722092
103	0.3555872055	0.004743014779
104	0.3557304038	0.004742487764
105	0.3558501919	0.004742046862
106	0.356020035	0.004741421653
107	0.3562967968	0.004740402688
108	0.3566421516	0.004739130875
109	0.3567733899	0.004738647484
110	0.3569996095	0.004737814131
111	0.3572169001	0.004737013533
112	0.3575683607	0.004735718305
113	0.3578911473	0.004734528437
114	0.3580407003	0.004733977047
115	0.3582750738	0.004733112803
116	0.3584608886	0.004732427504
117	0.3587194333	0.004731473807
118	0.3589551331	0.004730604211
119	0.3592666174	0.004729454769
120	0.3594382928	0.004728821132
121	0.3597031355	0.004727843456
122	0.3601217675	0.00472629765
123	0.3604122431	0.004725224766
124	0.3606020008	0.004724523756
125	0.360720502	0.004724085932
126	0.3610167724	0.00472299113
127	0.3614566923	0.004721365035
128	0.3617773281	0.004720179501
129	0.3620075537	0.004719328071
130	0.3621732776	0.004718715089
131	0.3625090671	0.00471747282
132	0.3628355978	0.004716264492
133	0.3631317286	0.00471516839
134	0.3636456916	0.004713265398
135	0.3638774047	0.004712407209
136	0.3641567963	0.004711372226
137	0.3644530219	0.004710274635
138	0.3646915844	0.004709390515
139	0.3648444993	0.00470882372
140	0.365158614	0.004707659207
141	0.3653336314	0.004707010242
142	0.3655557503	0.004706186496
143	0.3657006227	0.004705649148
144	0.3658243935	0.004705190019
145	0.3660573306	0.004704325815
146	0.3663451343	0.004703257835
147	0.3666250974	0.004702218717
148	0.3667563384	0.004701731521
149	0.3669539047	0.004700998015
150	0.3672477275	0.004699906925
151	0.36750477	0.004698952208
152	0.3677315513	0.004698109727
153	0.3679252082	0.004697390182
154	0.3681533186	0.004696542482
155	0.368296925	0.004696008735
156	0.3684497387	0.004695440701
157	0.3686704495	0.004694620161
158	0.3689272811	0.004693665153
159	0.3692210852	0.004692572427
160	0.3695749627	0.004691255937
161	0.3697768341	0.004690504772
162	0.3699652868	0.004689803429
163	0.3701338654	0.004689175961
164	0.370329948	0.004688446015
165	0.3705312374	0.004687696567
166	0.3706650027	0.004687198461
167	0.3710181171	0.004685883303
168	0.3712316119	0.004685087973
169	0.3714928117	0.004684114744
170	0.3717227272	0.004683257913
171	0.3719425955	0.004682438378
172	0.3721109903	0.004681810608
173	0.372291029	0.004681139337
174	0.3724508838	0.00468054324
175	0.3726600004	0.004679763332
176	0.3728524573	0.004679045443
177	0.3730449341	0.004678327369
178	0.3732835559	0.004677436988
179	0.3734959472	0.00467664434
180	0.373649309	0.004676071908
181	0.3738669346	0.004675259486
182	0.3740121876	0.004674717162
183	0.374344654	0.00467347561
184	0.3745109442	0.004672854497
185	0.3747140768	0.004672095662
186	0.3748888186	0.004671442787
187	0.3750873326	0.004670700982
188	0.3752581924	0.004670062421
189	0.3754068733	0.004669506679
190	0.3755947084	0.004668804492
191	0.3757297459	0.004668299613
192	0.3758951841	0.004667680998
193	0.3760406841	0.004667136869
194	0.3762134053	0.004666490858
195	0.3763435503	0.004666004031
196	0.3765878883	0.004665089911
197	0.3767488111	0.004664487767
198	0.3769149826	0.004663865902
199	0.3770593835	0.004663325441
200	0.3772653915	0.004662554291
201	0.3773873815	0.004662097585
202	0.3775403495	0.004661524841
203	0.3776822452	0.004660993491
204	0.3778488376	0.004660369583
205	0.3780727806	0.004659530758
206	0.3782888961	0.00465872111
207	0.3784649536	0.00465806143
208	0.3787339559	0.004657053309
209	0.3789077165	0.004656402003
210	0.3790524305	0.004655859503
211	0.3791756957	0.004655397359
212	0.3793677307	0.004654677293
213	0.3795709572	0.004653915142
214	0.3796768083	0.004653518124
215	0.3798429982	0.004652894724
216	0.3799521012	0.004652485419
217	0.3800678378	0.004652051188
218	0.3801900633	0.004651592567
